date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:24:46	392/392	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2016%20Feb%202020%2012:54:47%20GMT	http://new.uouapps.com/robots.txt		(from )
18:24:46	84424/84424	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:47%20GMT	http://new.uouapps.com/globo-html/	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/index.html	(from )
18:24:47	154546/154546	---M-Z	200	added ('OK')	text/css	etag:%2225bb2-530bda7a327fa-gzip%22	http://new.uouapps.com/globo-html/css/style.css	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/css/style.css	(from http://new.uouapps.com/globo-html/)
18:24:47	4927/4927	---M-Z	200	added ('OK')	text/css	etag:%22133f-530bda7b540bf-gzip%22	http://new.uouapps.com/globo-html/js/masterslider/style/masterslider.css	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/style/masterslider.css	(from http://new.uouapps.com/globo-html/)
18:24:48	7193/7193	---M-Z	200	added ('OK')	text/css	etag:%221c19-530bda7b09974-gzip%22	http://new.uouapps.com/globo-html/js/masterslider/skins/black-2/style.css	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/skins/black-2/style.css	(from http://new.uouapps.com/globo-html/)
18:24:48	84424/84424	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:49%20GMT	http://new.uouapps.com/globo-html/index.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/index-2.html	(from http://new.uouapps.com/globo-html/)
18:24:48	43/43	---M--	200	added ('OK')	image/gif	etag:%222b-530bda7adb721%22	http://new.uouapps.com/globo-html/js/masterslider/blank.gif	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/js/masterslider/blank.gif	(from http://new.uouapps.com/globo-html/)
18:24:49	7099/7099	---M--	200	added ('OK')	image/png	etag:%221bbb-530bda7ac7aad%22	http://new.uouapps.com/globo-html/img/slider-logo.png	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/img/slider-logo.png	(from http://new.uouapps.com/globo-html/)
18:24:49	153105/153105	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:50%20GMT	http://new.uouapps.com/globo-html/home-map-grid.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/home-map-grid.html	(from http://new.uouapps.com/globo-html/)
18:24:50	153045/153045	---M-Z	200	added ('OK')	text/html	date:Sun,%2016%20Feb%202020%2012:54:50%20GMT	http://new.uouapps.com/globo-html/home-map-list.html	C:/Users/dinesh%20agrawal/Desktop/yellow/new.uouapps.com/globo-html/home-map-list.html	(from http://new.uouapps.com/globo-html/)
